Plot,State,Location,Density,Planting Date,Rep within Environment,Genotype,Kernel Width,Kernel Length,Cob Length,Cob Width,Cob Weight,Days to Anthesis,Days to Silk,Ear Height Maturity,Ear length,Ear Width,Ear Weight,Per Plant Grain Weight,Kernel Depth,Kernel Row Number,Leaf Number Above Ear,Leaf Number Below Ear,Plant Height Maturity,Plant Height 14 DAP,Plant Height 21 DAP,Plant Height 28 DAP,Plant Height 35 DAP,Plant Height 42 DAP,Plant Height 49 DAP,Plant Height 56 DAP,Plant Height 63 DAP,Plant Height 70 DAP
111051,Minnesota,Waseca,Low,6/2/15,Rep1,Mo17,8.310456667,11.26384167,162.0943333,20.29341467,13.52,68,68,81.33333333,163.32835,29.37531167,100,86.48,5.077756333,11.2,.,.,176.5,.,.,.,.,.,.,.,.,.
112076,Minnesota,Waseca,Low,6/2/15,Rep2,Mo17,8.531436667,9.471236667,156.0565417,18.47765333,12.8,69,72,45.83333333,154.3790833,24.27181667,28.7,15.9,6.0169425,9.5,.,.,122,.,.,.,.,.,.,.,.,.
217051,Wisconsin,Arlington,High,6/9/15,Rep1,Mo17,7.859606667,9.84123,150.7066667,19.27419028,11.55,69,70,94,145.7519028,26.57104583,70.1,58.55,4.861683472,10.66666667,.,.,190,.,.,.,.,.,.,.,.,.
218070,Wisconsin,Arlington,High,6/9/15,Rep2,Mo17,.,.,159.9917778,20.07979361,12.38333333,66,69,102,158.7411806,28.9941,98.15,85.76666667,4.40801125,11.33333333,.,.,195,.,.,.,.,.,.,.,.,.
219059,Wisconsin,Arlington,Low,6/9/15,Rep1,Mo17,8.230446667,10.57804167,169.418,20.96949917,15.8,65,66,86,166.6945556,29.669105,100.7333333,84.93333333,4.781655833,11.66666667,.,.,174,.,.,.,.,.,.,.,.,.
220058,Wisconsin,Arlington,Low,6/9/15,Rep2,Mo17,7.89432,10.70483,158.1234667,20.990052,15,69,70,79,153.6086167,28.27189333,95.64,80.64,4.722008167,11.6,.,.,180,.,.,.,.,.,.,.,.,.
321083,Iowa,Curtiss - 1,High,5/19/15,Rep1,Mo17,8.685106667,10.76579,190.0731389,19.6167375,14.25666667,67,70,92.6,188.6937778,28.54713056,110.3541667,96.0975,5.402703472,10,5.2,12,198.4,.,.,45.66666667,73.5,103.6666667,139.6666667,178.8333333,.,.
322054,Iowa,Curtiss - 1,High,5/19/15,Rep2,Mo17,9.057216667,10.24360833,160.3480833,17.91867695,9.598333333,66,71,86.83333333,160.8878333,23.20021889,57.975,48.37666667,4.947302639,8.666666667,5,11.5,192.8333333,.,.,47.66666667,73.66666667,103.6666667,137.8333333,175.8333333,.,.
323082,Iowa,Curtiss - 1,Low,5/19/15,Rep1,Mo17,9.029911667,10.94697667,175.1188889,19.55983445,13.37666667,67,71,72.16666667,174.736125,.,94.79583333,81.41916667,5.19763375,9.333333333,5.4,12.33333333,169,.,.,45.16666667,70,90.5,118.1666667,155,.,.
324077,Iowa,Curtiss - 1,Low,5/19/15,Rep2,Mo17,8.830098333,10.83733333,183.3033333,20.41605433,14.526,69,73,77.16666667,183.1742167,.,105.746,91.22,5.468577667,10.4,5.333333333,12.5,170,.,.,44.33333333,71.66666667,91.16666667,118,153.8333333,.,.
325051,Iowa,Curtiss - 2,High,6/1/15,Rep1,Mo17,8.307281667,9.869805,168.4147,19.03217767,12.154,62,66,83.16666667,167.5468667,25.56594667,69.174,57.02,4.895045667,10.4,5.166666667,11.5,183.1666667,21.16666667,41,63.33333333,79.66666667,110,157.3333333,193.5,.,.
326075,Iowa,Curtiss - 2,High,6/1/15,Rep2,Mo17,8.090746667,10.320655,177.927,19.84696733,13.888,61,63,99.33333333,173.6576833,28.83831333,101.079,87.191,4.540927333,10.8,4.666666667,11.8,187.6666667,24.83333333,42.83333333,65.5,90.83333333,122.5,173,209.5,.,.
327081,Iowa,Curtiss - 2,Low,6/1/15,Rep1,Mo17,7.516071667,8.358928333,154.7071667,19.59758167,.,61,64,75.66666667,154.3896667,21.55306417,.,.,4.127288333,.,5.666666667,.,172.3333333,23.66666667,45.5,66.83333333,83.83333333,118.8333333,164.8333333,194.8333333,.,.
328079,Iowa,Curtiss - 2,Low,6/1/15,Rep2,Mo17,8.647218333,10.66080333,177.9658055,20.00504,14.21833333,62,65,85.16666667,175.2705833,28.39217292,95.46583333,81.2475,5.03682,10.33333333,5,11.8,177.6666667,21.16666667,44,67.16666667,85.66666667,123.8333333,169.5,201.1666667,.,.
329055,Iowa,Kelly - 1,High,6/10/16,Rep1,Mo17,8.401261667,10.23789333,140.8712222,18.14657139,9.453333333,61,64,80.5,136.1933889,24.59467889,61.24416667,51.79083333,5.232117778,10.33333333,5,.,181.8333333,.,33,49.16666667,68,115,.,.,.,.
330064,Iowa,Kelly - 1,High,6/10/16,Rep2,Mo17,8.582871667,10.37314833,149.5671944,18.48096945,11.17166667,62,.,88.5,149.2620417,28.4988,71.59916667,60.4275,5.232911528,10.5,4.666666667,.,186.1666667,.,30.33333333,44.16666667,65,114.3333333,.,.,.,.
331051,Iowa,Kelly - 1,Low,6/2/15,Rep1,Mo17,8.626263333,10.76071,171.8133611,19.63056639,13.35333333,65,69,81.33333333,171.1730694,29.76668333,100.0491667,86.69583333,4.963883194,10.33333333,4.666666667,.,168.3333333,20.83333333,37,53.33333333,69.83333333,89.16666667,142.8333333,.,.,.
